tbl_name_pre,tbl_name_post,check_app,col_name,col_filter,col_filter_value
dc_output,dc_output_pp,rows,prop_total_change,application,rows
dc_output,dc_output_pp,person,prop_total_change,application,person
uc_output,uc_output_pp,rows,unmapped_prop,,
vc_output,vc_violations_pp,rows,tot_prop,,
vs_output,vs_violations_pp,rows,tot_prop,,
mf_visitid_output,mf_visitid_output_pp,rows,prop_missing_visits_total,,
cfd_output,cfd_output_pp,visits,fact_visits_prop,,
bmc_gen_output,bmc_anom_pp,rows,best_row_prop,analysis_eligible,yes
dcon_output,dcon_output_pp,concordance,prop,cohort,cohort_2_in_1
ecp_output,ecp_anom_pp,person,prop_with_concept,analysis_eligible,yes